trainStation,departureTime
8504296,01807 
8504295,01812 
8504294,01815 
8504293,01819 
8504292,01822 
8504291,01823 
8530263,01824 
8504200,01812 
8530263,01813 
8504291,01814 
8504292,01815 
8504293,01818 
8504294,01822 
8504295,01828 
8504296,01831 
8504297,01838 
8504298,01811 
8504297,01818 
8504296,01824 
8504295,01829 
8504294,01832 
8504293,01836 
8504292,01839 
8504291,01840 
8530263,01841 
8504200,01912 
8530263,01913 
8504291,01914 
8504292,01915 
8504293,01918 
8504294,01922 
8504295,01928 
8504296,01931 
8504297,01938 
8504298,01854 
8504297,01901 
8504296,01907 
8504295,01912 
8504294,01915 
8504293,01919 
8504292,01922 
8504291,01923 
8530263,01924 
8504200,02012 
8530263,02013 
8504291,02014 
8504292,02015 
8504293,02018 
8504294,02022 
8504295,02028 
8504296,02031 
8504297,02038 
8504298,01911 
8504297,01918 
8504296,01924 
8504295,01929 
8504294,01932 
8504293,01936 
8504292,01939 
8504291,01940 
8530263,01941 
8504200,02156 
8530263,02157 
8504291,02158 
8504292,02159 
8504293,02202 
8504294,02206 
8504295,02212 
8504296,02215 
8504297,02222 
8504298,01954 
8504297,02001 
8504296,02007 
8504295,02012 
8504294,02015 
8504293,02019 
8504292,02022 
8504291,02023 
8530263,02024 
8504200,02312 
8530263,02313 
8504291,02314 
8504292,02315 
8504293,02318 
8504294,02322 
8504295,02328 
8504296,02331 
8504297,02338 
8504298,02011 
8504297,02018 
8504296,02024 
8504295,02029 
8504294,02032 
8504293,02036 
8504292,02039 
8504291,02040 
8530263,02041 
8504200,02505 
8530263,02506 
8504291,02507 
8504292,02508 
8504293,02510 
8504294,02515 
8504295,02520 
8504298,02111 
8504297,02118 
8504296,02124 
8504295,02129 
8504294,02132 
8504293,02136 
8504292,02139 
8504291,02140 
8530263,02141 
8504298,02235 
8504297,02242 
8504296,02248 
8504295,02252 
8504294,02256 
8504293,02259 
8504292,02302 
8504291,02303 
8530263,02304 
8504298,02352 
8504297,02359 
8504296,02405 
8504295,02409 
8504294,02412 
8504293,02416 
8504292,02419 
8504291,02420 
8530263,02421 
8504200,00722 
8530263,00723 
8504291,00724 
8504292,00725 
8504293,00728 
8504294,00732 
8504295,00738 
8504296,00741 
8504297,00748 
8504200,02505 
8530263,02506 
8504291,02507 
8504292,02508 
8504293,02511 
8504294,02515 
8504295,02521 
8504296,02524 
8504297,02531 
